City,Company,Region,Position,Employment_type,Industry,Standing,Preferred_mj1,Preferred_mj2,Preferred_lang1,Preferred_lang2,Minimum_exp_years,Estimate_minimum_average_salary,
Los Angeles,Earny,South CA,Data Analyst Intern,Internship,Information Technology and Services,NA,Quantitative fields,NA,SQL,MS,1,NA,
Palo Alto,Amazon,North CA,A9 Fall 2018 Applied Scientist Intern,Internship,Information Technology and Services,MS,Machine Learning,Quantitative fields,Python,C/C++,1,NA,
Santa Clara,Virtual Power Systems,North CA,Algorithm Scientist Internship,Internship,Information Technology and Services,All levels,Computer Science,Statistics,Python,R,1,NA,
Culver City,Sony Pictures Entertainment,South CA,"Crackle Data Science Business Intelligence Intern, SPT",Internship,Media,NA,Data Related fields,NA,SQL,R,1,NA,
Mountain View,Qventus,North CA,Data Platform Summer Internship,Internship,Information Technology and Services,All levels,Data Related fields,NA,Python,Java,1,NA,
Santa Monica,Leaf Group,South CA,Software Software Engineering Intern - Performance Brands & Partners,Internship,Information Technology and Services,NA,Quantitative fields,NA,JavaScript,CSS,1,63000,
Palo Alto,SAP,North CA,"Intern, Data Scientist",Internship,Information Technology and Services,All levels,Statistics,Computer Science,Python,C/C++,1,96000,
Santa Monica,Activision,South CA,Senior Data Scientist (Contract),Contract,Media,NA,Data Mining,Data Related fields,SQL,R,2,124000,
Mountain View,Mozilla Foundation,North CA,Junior Data Analyst (Contract),Contract,Information Technology and Services,All levels,Computer Science,Statistics,SQL,Python,1,67000,
San Francisco,Twitch,North CA,Data Entry Specialist (Contract),Contract,Media,BA/BS,Internet Network,Data Related fields,Excel,C/C++,3,NA,
Redwood City,Pubmatic,North CA,Software Engineer - Java Big Data ( On Contract),Contract,Information Technology and Services,NA,Computer Science,Software Engineering,Java,Scala,2,114000,
San Jose,"NoraLogic, Inc.",North CA,"Data Scientist ll San Jose, CA ll Log Term Contract Opportunity ll Urgent Job Opening",Contract,Unknown,NA,Data Related fields,NA,Python,R,1,NA,
Los Angeles,Vendo,South CA,Data Analyst,Full time,Business Services,NA,Statistics,Data Related fields,SQL,XML,3,NA,
Menlo Park,Rose International,North CA,Data Analyst,Full time,Business Services,All levels,Computational Linguistics,Speech Science,SQL,Python,1,NA,
Thermal,Accountemps,South CA,Data Analyst,Full time,Business Services,NA,Quantitative fields,Qualitative Research,Excel,NA,5,NA,
San Diego,Sony PlayStation,South CA,Data Engineer - Cloud,Full time,Media,BS,Computer Science,Quantitative fields,SQL,Java,5,91000,
San Diego,Classy,South CA,Data Engineer,Full time,Information Technology and Services,All levels,Computer Science,Quantitative fields,MySQL,MongoDB,2,106000,
San Diego,Slalom LLC.,South CA,Data Engineer,Full time,Business Services,BS,Computer Science,Quantitative fields,SQL,ETL design,3,89000,
San Diego,Mulligan Funding,South CA,Data Engineer,Full time,Computer Software,All levels,Computer Science,Quantitative fields,SQL,Tableau,3,NA,
San Diego,American Specialty Health,South CA,Data Engineer,Full time,Health Care,All levels,Computer Science,Computer Engineering,SQL,BI Stack,3,75000,
Walnut Creek,Medpricer,North CA,Data Analyst,Full time,Business Services,BS/BA,Data Related fields,NA,Excel guru,SQL,2,NA,
Pleasanton,"Accurate Corrosion Control, Inc",North CA,Data Analyst,Full time,"Construction, Repair & Maintenance",BS/BA,Statistics,Computer Science,Microsoft Office Suite,SAS,2,NA,
Mountain View,EdgeCast Networks,North CA,Data Analyst,Full time,Information Technology,BS/MS,Computer Science,Engineering,SQL,Python,1,69000,
Burbank,Mastech Digital,South CA,Data Analyst,Full time,Business Services,BS/BA,Computer Science,Electrical Engineering,PL/SQL,ATS,6,NA,
